año,cambio_RCP_45
2007,0.9460951666666672
2008,1.0596532500000007
2009,0.31138291666666656
2010,0.45683999999999997
2011,0.3476255000000001
2012,0.7688113333333343
2013,-0.4909358333333326
2014,0.17212125000000075
2015,1.6374988333333331
2016,1.9918814166666665
2017,0.7113642500000003
2018,1.0550885833333346
2019,1.6460740833333336
2020,0.4514587500000009
2021,0.10822533333333335
2022,1.6044970000000005
2023,1.8194724166666665
2024,0.5935584166666664
2025,0.48568425000000115
2026,1.083625250000001
2027,1.652531083333334
2028,1.141794166666667
2029,0.9921588333333337
2030,0.1035817500000001
2031,0.9236877500000005
2032,1.3670852500000006
2033,0.9815896666666677
2034,0.6756027500000008
2035,0.8656104166666677
2036,0.904080166666667
2037,1.5844924999999999
2038,2.3435556666666675
2039,1.6132855000000008
2040,0.4866660000000005
2041,-0.11077133333333238
2042,0.6169250000000006
2043,0.717368416666667
2044,1.8906494166666674
2045,1.1377200833333345
2046,1.0400462499999998
2047,1.0591220000000006
2048,1.4884024166666665
2049,2.803534333333334
2050,2.690863583333334
2051,1.2396130833333345
2052,1.121662833333333
2053,1.79623625
2054,0.920269583333334
2055,1.9179194166666667
2056,1.6124767500000001
2057,2.213365
2058,1.3973024999999994
2059,1.9541872500000006
2060,1.4482287500000002
2061,1.0555668333333343
2062,2.0342170833333335
2063,2.3666880000000003
2064,2.6048649166666666
2065,2.4869479166666664
2066,1.9150559166666679
2067,1.7232023333333342
2068,2.6570270833333334
2069,1.1925980833333336
2070,1.9075131666666671
2071,3.0450709166666674
2072,1.996024000000001
2073,1.5226789166666685
2074,2.9740056666666668
2075,3.09426
2076,2.75482075
2077,1.6815326666666672
2078,1.91307475
2079,2.40543525
2080,2.02019175
2081,2.155648666666668
2082,2.9342995833333334
2083,1.6229979166666666
2084,1.9258769166666685
2085,2.087348166666667
2086,2.56333075
2087,2.445992833333334
2088,2.7499073333333333
2089,3.5475325833333335
2090,2.3004165833333334
2091,1.2449943333333335
2092,1.5124835833333339
2093,2.4213576666666667
2094,1.1806379166666667
2095,3.5836069166666675
2096,1.8812500000000012
2097,1.6858155833333333
2098,2.74978025
2099,2.7244328333333336
2100,2.2806260000000003
