año,cambio_RCP_85
2007,0.11499058333333333
2008,0.6115210833333351
2009,0.34449983333333317
2010,0.32470425000000064
2011,1.14479275
2012,1.4591845000000003
2013,0.5463151666666667
2014,0.6740004166666665
2015,1.3951382499999998
2016,0.5393700833333333
2017,1.014881833333334
2018,1.2361695833333333
2019,1.2815064166666674
2020,0.5695239166666676
2021,1.0348174166666664
2022,0.8674974166666667
2023,1.9604408333333332
2024,1.4145169166666667
2025,0.06518775000000078
2026,1.4231789166666677
2027,1.7696955833333332
2028,2.102215333333334
2029,1.9465727500000014
2030,0.22518908333333432
2031,2.2054484166666666
2032,1.546518166666667
2033,1.6229265833333333
2034,1.716402000000001
2035,1.7531195833333335
2036,0.7028929999999997
2037,2.61310975
2038,2.1361256666666675
2039,2.0322155
2040,2.2469653333333333
2041,2.069103416666667
2042,1.447872583333333
2043,1.3943856666666667
2044,1.3788699166666667
2045,1.822013166666667
2046,1.6471828333333345
2047,2.3298840000000003
2048,3.7308415
2049,1.9858544166666674
2050,1.8258786666666664
2051,1.3913950000000008
2052,0.933616083333335
2053,2.54588225
2054,3.3786687499999997
2055,2.8731579166666665
2056,2.2358542500000005
2057,4.250006666666668
2058,2.445009083333334
2059,2.8479502500000002
2060,2.37544425
2061,2.833777333333334
2062,3.0545976666666665
2063,2.4913598333333344
2064,3.0032846666666675
2065,2.6127766666666665
2066,2.9797048333333334
2067,2.27098025
2068,2.4707225000000004
2069,3.6226925
2070,2.765173916666667
2071,3.7975785
2072,3.1250625833333334
2073,4.267948333333334
2074,2.3283300000000016
2075,3.179055833333333
2076,3.5947662499999997
2077,3.029761166666667
2078,2.2485849166666667
2079,3.550119
2080,3.646508750000002
2081,3.2082637500000017
2082,2.8637048333333346
2083,4.3165069166666665
2084,3.4894831666666666
2085,3.389375333333333
2086,3.036187750000001
2087,3.9205311666666667
2088,3.2037623333333336
2089,2.4956554166666676
2090,4.426235416666667
2091,3.326102166666667
2092,3.8083053333333345
2093,4.952640833333333
2094,4.4887355
2095,4.083342583333334
2096,4.158975250000002
2097,3.7534805
2098,4.44656525
2099,4.452638333333334
2100,4.055808166666668
